# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887210e-10       7.309026172911e-15       4.815171199966e-13       0.000000000000e+00       8.628903609644e-09       4.854772125134e-10      -2.515854151612e-12 
    3       1.409365943160e-10       1.238791651651e-14       6.068719691958e-13       0.000000000000e+00       5.411291720446e-09       3.469573585513e-10      -2.211507031147e-12 
    4       1.324622774428e-10       1.446512635931e-14       6.277976520578e-13       0.000000000000e+00       3.776588552318e-09       2.639785050812e-10      -1.764116067079e-12 
    5       1.257504767420e-10       1.337853519883e-14       5.879551647003e-13       0.000000000000e+00       2.821984229979e-09       2.093815839158e-10      -1.309529286438e-12 
    6       1.208053913249e-10       1.032310747925e-14       5.173990841439e-13       0.000000000000e+00       2.205212282907e-09       1.709429029053e-10      -8.948468925453e-13 
    7       1.173297571794e-10       6.841600365878e-15       4.365335862011e-13       0.000000000000e+00       1.778233642563e-09       1.425663900771e-10      -5.443860557792e-13 
    8       1.150037074268e-10       4.042374146249e-15       3.576623511390e-13       0.000000000000e+00       1.468351550612e-09       1.208855287040e-10      -2.689334595894e-13 
    9       1.135829010676e-10       2.336357197392e-15       2.880590507306e-13       0.000000000000e+00       1.235838580488e-09       1.038809735205e-10      -7.009986711096e-14 
   10       1.128526891660e-10       1.571653533678e-15       2.317799681307e-13       0.000000000000e+00       1.056623420589e-09       9.029297738444e-11       5.745597591238e-14 
   11       1.126728149357e-10       1.345905907605e-15       1.905574141929e-13       0.000000000000e+00       8.886898863626e-10       7.950622621177e-11       1.233291888071e-13 
   12       1.129346479157e-10       1.288312421122e-15       1.640636561725e-13       0.000000000000e+00       7.765278491965e-10       7.028426672878e-11       1.421600854570e-13 
   13       1.135181529485e-10       1.200674797106e-15       1.505300363047e-13       0.000000000000e+00       6.844563324699e-10       6.274647521771e-11       1.277329345099e-13 
