# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760257e-10       7.309265059082e-15       4.815171148058e-13       2.388861390926e-19       8.628903609644e-09       4.854772125134e-10      -2.515854151612e-12 
    3       1.409375667405e-10       1.238839452132e-14       6.068719461071e-13       4.780044836909e-19       5.411291720446e-09       3.469573585513e-10      -2.211507031147e-12 
    4       1.324638933497e-10       1.446592354287e-14       6.277975858841e-13       7.971819748459e-19       3.776588552318e-09       2.639785050812e-10      -1.764116067079e-12 
    5       1.257528917308e-10       1.337973190999e-14       5.879550144262e-13       1.196705777555e-18       2.821984229979e-09       2.093815839158e-10      -1.309529286438e-12 
    6       1.208087576671e-10       1.032478441014e-14       5.173987897676e-13       1.676916281444e-18       2.205212282907e-09       1.709429029053e-10      -8.948468925453e-13 
    7       1.173342233295e-10       6.843838595496e-15       4.365330660520e-13       2.238195818198e-18       1.778233642563e-09       1.425663900771e-10      -5.443860557792e-13 
    8       1.150094176214e-10       4.045255171793e-15       3.576614997223e-13       2.880956159396e-18       1.468351550612e-09       1.208855287040e-10      -2.689334595894e-13 
    9       1.135899950170e-10       2.339962952410e-15       2.880577371264e-13       3.605625289089e-18       1.235838580488e-09       1.038809735205e-10      -7.009986711096e-14 
   10       1.128613018427e-10       1.576066392488e-15       2.317780349521e-13       4.412633972637e-18       1.056623420589e-09       9.029297738444e-11       5.745597591238e-14 
   11       1.126830764605e-10       1.351208675941e-15       1.905546770849e-13       5.302402649326e-18       8.886898863626e-10       7.950622621177e-11       1.233291888071e-13 
   12       1.129466835385e-10       1.294588313391e-15       1.640599038118e-13       6.275329160849e-18       7.765278491965e-10       7.028426672878e-11       1.421600854570e-13 
